dc.title[en_US],dc.date.issued[en_US],dc.publisher[en_US],dc.identifier.uri[],dc.title[en],dc.contributor.author,dc.contributor.author[],dc.identifier.uri,dc.publisher,dc.date.issued,dc.title[],dc.contributor.author[en_US],collection,dc.publisher[en],dc.date.issued[],id
,,,,,,"Oh, Edmund",http://hdl.handle.net/1813/43599,,,Resource Governance As Depoliticized Development: The Rise Of Fisheries Co-Management In Vietnam,,1813/47,,2016-02-01,44762
,,,,,,"Peters, Gregory",http://hdl.handle.net/1813/43613,,,Contributions Of The Medial Prefrontal Cortex To Managing Memory And Resolving Mnemonic Interference,,1813/47,,2016-02-01,44776
,,,,,,"Wei, Heng Chin Kevin",http://hdl.handle.net/1813/43621,,,Natural Variation And Divergence Of Repetitive Dna In Drosophila,,1813/47,,2016-02-01,44784
,,,,,,"Yoon, Hye Jung",http://hdl.handle.net/1813/43622,,,Competence And Motivation: Pathways To Relational Versus Collective Status,,1813/47,,2016-02-01,44785
,,,,,,"Diran, Ingrid",http://hdl.handle.net/1813/43626,,,Mutinous Muteness: Radicalizing Illegibility In Twentieth-Century African American Literature,,1813/47,,2016-02-01,44789
,,,,,,"Karl, Julia",http://hdl.handle.net/1813/43638,,,Most Significant Bit-First Serial Adder,,1813/47,,2016-02-01,44801
,,,http://hdl.handle.net/1813/43640,,,"Corwin, Jason",,,,"Indigenous Ways Of Knowing, Digital Storytelling, And Environmental Learning — A Confluence Of Tradition And New Media Technology",,1813/47,,2016-02-01,44803
,,,,,,"Rodriguez, Justin",http://hdl.handle.net/1813/43642,,,Interfacing A Nanonis Controller With A Scanning Tunneling Microscope,,1813/47,,2016-02-01,44805
,,,,,,"Tian, Jia",http://hdl.handle.net/1813/43643,,,Study Of Water Absorption Band Depth Features With Varied Soil Properties During The Drying Process,,1813/47,,2016-02-01,44806
,,,,,,"Fraley, Keith",http://hdl.handle.net/1813/43650,,,The Black Male Mass: A Discourse Of African-American Male Imagery And Representation In The Fashion System,,1813/47,,2016-02-01,44813
,,,,,,"Kelsey, Keegan",http://hdl.handle.net/1813/43655,,,Natural Genetic Variation Involved In Chromatin Modification,,1813/47,,2016-02-01,44818
,,,,,,"Letchworth Weaver, Kendra",http://hdl.handle.net/1813/43658,,,Microscopically Detailed Joint Density-Functional Theory For The Electrode-Electrolyte Interface,,1813/47,,2016-02-01,44821
,,,,,,"Dirar, Luwam",http://hdl.handle.net/1813/43668,,,Theorizing Regional Integration Among Southern African States And Their Relations With The European Union,,1813/47,,2016-02-01,44831
,,,,,,"Richards, Mark",http://hdl.handle.net/1813/43676,,,Investigating Lipid-Protein Interactions Using Supported Lipid Bilayers,,1813/47,,2016-02-01,44839
,,,,,,"Li, Ming",http://hdl.handle.net/1813/43677,,,Single Molecule Studies Of Chromatin Dynamics And Transcription Coupled Repair,,1813/47,,2016-02-01,44840
,,,,,,"Russell, Matthew",http://hdl.handle.net/1813/43680,,,Designing And Improving A System And Tools For Targeted Mutation In Growing Bacteria,,1813/47,,2016-02-01,44843
,,,,,,"Oh, Noona",http://hdl.handle.net/1813/43684,,,The 2011 Egyptian Revolution On Twitter,,1813/47,,2016-02-01,44847
,,,,,,"Swift, Rose",http://hdl.handle.net/1813/43692,,,Nest Site Selection In Hudsonian Godwits: Effects Of Habitat And Predation Risk,,1813/47,,2016-02-01,44855
,,,,,,"Chen, Shuo",http://hdl.handle.net/1813/43697,,,Representation Learning For Sequence And Comparison Data,,1813/47,,2016-02-01,44860
,,,,,,"Cheung, Sin Shuen",http://hdl.handle.net/1813/43698,,,Online And Offline Facility Location And Network Design,,1813/47,,2016-02-01,44861
,,,,,,"Lindsey, Stephanie",http://hdl.handle.net/1813/43703,,,Hemodynamic Regulation Of Cardiac Outflow Morphogenesis,,1813/47,,2016-02-01,44866
,,,,,,"Carling, Stacy",http://hdl.handle.net/1813/43706,,,Maternal Experiences Associated With Optimal Breastfeeding Behavior And The Role Of Breastfeeding In Moderating Child Risk Of Obesity,,1813/47,,2016-02-01,44869
,,,,,,"Sekar, Sathish",http://hdl.handle.net/1813/43708,,,Efficay Of Salinity Mitigation On Warm Season Turfgrass,,1813/47,,2016-02-01,44871
,,,,,,"O'Toole, Thomas",http://hdl.handle.net/1813/43717,,,"Shadows Of The Cross: Barack Obama, Clerical Politics, And Gay Rights Compartmentalization In The Black Church",,1813/47,,2016-02-01,44880
,,,,,,"Tong, Tianyi",http://hdl.handle.net/1813/43719,,,A Spatiotemporal Examination Of The Mechanisms Involved In Long-Term Memory For Incrementally Acquired Information,,1813/47,,2016-02-01,44882
,,,,,,"Zhang, Tietie",http://hdl.handle.net/1813/43722,,,Ad Hoc Arbitration In China,,1813/47,,2016-02-01,44885
,,,,,,"Oh, Yoon Jeong",http://hdl.handle.net/1813/43734,,,"Translating Melancholia: The Multiplicity Of Language And The Logic Of Translation In The Postcolonial Writings Of Yi Sang, Theresa Hak Kyung Cha, And Ook Chung",,1813/47,,2016-02-01,44897
,,,,,,"Yan, Yuchen",http://hdl.handle.net/1813/43736,,,Sensitivity Analysis Of Imported Container Volumes To Surcharge Fees Via A User-Equilibrium Model,,1813/47,,2016-02-01,44899
,,,,,,"Hu, Yang",http://hdl.handle.net/1813/43737,,,Complex-Valued Group Lasso For Tensor Autoregressive Models,,1813/47,,2016-02-01,44900
THE MEIOSIS SPECIFIC AAA+ ATPASE PCH2 INTERACTS WITH THE SYNAPTONEMAL COMPLEX PROTEIN HOP1 THROUGH THE HOP1 HORMA DOMAIN,,,http://hdl.handle.net/1813/44115,,,"West, Timothy",,,,,,1813/47,,2016-02-01,45289
,,,,,,"Umbright, Christine",http://hdl.handle.net/1813/44280,,,Ab Initio Theory Of Energy Storage Through Nanoscale Charge Separation And Transport,,1813/47,,2016-05-29,45456
,,,,,,"Yao, Christine",http://hdl.handle.net/1813/44288,,,Feeling Subjects: Science And Law In Nineteenth-Century America,,1813/47,,2016-05-29,45464
,,,,,,"Blake, Elizabeth",http://hdl.handle.net/1813/44300,,,Eating And Feeling: Pleasure And The Modernist Body,,1813/47,,2016-05-29,45476
,,,,,,"Randles, Evan",http://hdl.handle.net/1813/44301,,,Convolution Powers Of Complex-Valued Functions And Related Topics In Partial Differential Equations,,1813/47,,2016-05-29,45477
,,,,,,"Dincer, Evren",http://hdl.handle.net/1813/44304,,,The Reindustrialization Of The U.S.: An Ethnography Of Auto Workers In The Industrial Rust Belt,,1813/47,,2016-05-29,45480
,,,,,,"Yilmaz, Erdal",http://hdl.handle.net/1813/44307,,,"Design, Analysis And Simulation Of Microscale Solid-Wave Gyroscopes",,1813/47,,2016-05-29,45483
,,,,,,"Kim, HyunJung",http://hdl.handle.net/1813/44311,,,Genetic Characterization Of The O. Rufipogon Species Complex And Construction Of Interspecific Pre-Breeding Resources For The Rice Improvement,,1813/47,,2016-05-29,45487
,,,,,,"Wang, Hui",http://hdl.handle.net/1813/44313,,,Quantifying And Reducing Uncertainty In Large Volume Remote Sensing Measurements Of Atmospheric Boundary Layer Flows,,1813/47,,2016-05-29,45489
,,,,,,"Chen, I-Tzu",http://hdl.handle.net/1813/44314,,,Plant-Mimetic Generation Of Negative Pressure In Water: From Fundamental Thermodynamics To Applications In Transport And Heat Transfer,,1813/47,,2016-05-29,45490
,,,,,,"Small, Ian",http://hdl.handle.net/1813/44316,,,Integration Of Epidemiological Information Into A Decision Support System For Late Blight,,1813/47,,2016-05-29,45492
,,,,,,"Thomson, Jordan",http://hdl.handle.net/1813/44319,,,"Rich Man, Poor Man: Prosperity, Poverty, And The Significance Of Need",,1813/47,,2016-05-29,45495
,,,,,,"Sutton, Julie",http://hdl.handle.net/1813/44324,,,"Structural Studies Of Model Rna Systems In Solution Using F{\""O}Rster Resonance Energy Transfer",,1813/47,,2016-05-29,45500
,,,,,,"Albrecht, Kiel",http://hdl.handle.net/1813/44329,,,Essays In Public Finance,,1813/47,,2016-05-29,45505
,,,,,,"Molde, Klas Erik",http://hdl.handle.net/1813/44331,,,Enchantment And Embarrassment In The Lyric,,1813/47,,2016-05-29,45507
,,,,,,"Smith, Laura",http://hdl.handle.net/1813/44335,,,"Evaluation Of Food-Chain Mycotoxin Exposure In Rural Zimbabwe: Determinants, Effects And Mechanisms",,1813/47,,2016-05-29,45511
,,,,,,"de la Garza, Lucas",http://hdl.handle.net/1813/44339,,,"Multi-Object, Multi-Sensor Detection And Tracking Of Pedestrians On A Mobile Robot",,1813/47,,2016-05-29,45515
,,,,,,"Grayson, Malika",http://hdl.handle.net/1813/44342,,,Urban Wind: Impact Of Building Geometry On The Wind Energy Yield Potential Above Rooftops Of Buildings,,1813/47,,2016-05-29,45518
,,,,,,"Bentley, Michael",http://hdl.handle.net/1813/44343,,,Boomerang Bias: Examining The Effect Of Parental Coresidence On Millennial Financial Behavior,,1813/47,,2016-05-29,45519
,,,,,,"Mashfiqui Rabbi Shuvo, Mohammod",http://hdl.handle.net/1813/44351,,,Automated Mobile Systems For Personalized Health Feedback,,1813/47,,2016-05-29,45527
,,,,,,"Zhao, Nellie",http://hdl.handle.net/1813/44356,,,Essays In Labor And Macroeconomics,,1813/47,,2016-05-29,45532
,,,,,,"Chen, Po-Cheng",http://hdl.handle.net/1813/44361,,,"Micro-Fabricated Silicon Based Probes For Biomedical Applications: Reliable Neural Interface, Electro-Mechano Tissue Assay Surgical Tweezer, And Fluid Viscosity Sensing",,1813/47,,2016-05-29,45537
,,,,,,"Lam, Quy-Steven",http://hdl.handle.net/1813/44366,,,A Learning Management System To Capture And Derive Student Concept Maps,,1813/47,,2016-05-29,45542
,,,,,,"Garg, Rohit",http://hdl.handle.net/1813/44369,,,Dynamical Diffraction As An Angular Slit Optical Element,,1813/47,,2016-05-29,45545
,,,,,,"Gajare, Rashmi",http://hdl.handle.net/1813/44374,,,An Analysis Of Green Building Rating Systems In The Context Of Historic Preservation,,1813/47,,2016-05-29,45550
,,,,,,"Messick, Scott",http://hdl.handle.net/1813/44379,,,"Continuous Automata, Compactness, And Young Measures",,1813/47,,2016-05-29,45555
,,,,,,"Chamberlain, Samuel",http://hdl.handle.net/1813/44380,,,Methane Fluxes In Human-Dominated Ecosystems: From Pastures To Cities,,1813/47,,2016-05-29,45556
,,,,,,"Lee, Seoho",http://hdl.handle.net/1813/44383,,,Smartphone Enabled Biosensor Systems For Nutrition Diagnostics And Preventive Care At The Point-Of-Need,,1813/47,,2016-05-29,45559
,,,,,,"Che, Sara",http://hdl.handle.net/1813/44386,,,Interaction Of Tumor-Derived Tissue Factor With Endothelial Cells In The Context Of Cancer Metastasis,,1813/47,,2016-05-29,45562
,,,,,,"Srinivasan, Tara",http://hdl.handle.net/1813/44394,,,Notch Signaling: Mechanistic And Functional Studies In Intestinal Stem Cells And Colorectal Cancer Cells,,1813/47,,2016-05-29,45570
,,,,,,"Thapar, Vikram",http://hdl.handle.net/1813/44397,,,Understanding The Kinetics And Thermodynamics Of Self Assembly Of Faceted Polyhedral Particles Using Computer Simulations,,1813/47,,2016-05-29,45573
,,,,,,"Cheng, Wei",http://hdl.handle.net/1813/44398,,,Carbon Sequestration In Concrete,,1813/47,,2016-05-29,45574
,,,,,,"Pan, Yuanyuan",http://hdl.handle.net/1813/44404,,,The Anti-Corruption Campaign And Catering Industry In China,,1813/47,,2016-05-29,45580
,,,,,,"Shi, Yongren",http://hdl.handle.net/1813/44405,,,Three Studies Of Network Dynamics,,1813/47,,2016-05-29,45581
,,,http://hdl.handle.net/1813/44406,,,"Zhang, Yiyi",,,,γ-Aminobutyric Acid (Gaba) In Fresh-Cut Fruits And Vegetables,,1813/47,,2016-05-29,45582
,,,,,,"Citerone, Veronica",http://hdl.handle.net/1813/44408,,,Enhancing Gas Transfer At An Air-Water Interface Through Strengthened Secondary Flows Motivated By Algal Biofuel Production,,1813/47,,2016-05-29,45584
,,,,,,"Otwell, Anne",http://hdl.handle.net/1813/44265,,,Insights Into Microbial Metal Reduction Through Implementation Of Proteomic-Based Techniques: A Focus On The Gram-Positive Bacterium Desulfotomaculum Reducens Mi-1,,1813/47,,2016-05-29,45441
,,,http://hdl.handle.net/1813/40940,,,"Nevins, Julie",,,,"Iron Status, Brain Function, And Memory Performance In Early Infancy",,1813/47,,2016-02-01,42059
,,,,,,"Hetherington, Amy",http://hdl.handle.net/1813/43558,,,Ecological Forecasting For Oneida Lake: Impacts Of Climate Change And Invasive Mussels On Lake Dynamics,,1813/47,,2016-02-01,44721
,,,,,,"Mulder, Andrew",http://hdl.handle.net/1813/43559,,,Ferroelectricity Coupled To Octahedral Rotations In Perovskite Oxides From First Principles,,1813/47,,2016-02-01,44722
,,,,,,"Gilutz, Amit",http://hdl.handle.net/1813/43560,,,This Music Is So Strange: Claude Vivier'S Queerness,,1813/47,,2016-02-01,44723
,,,,,,"Guthrie, Bernadette",http://hdl.handle.net/1813/43568,,,Untimely Interference: Anachronistic Temporalities In Nineteenth-Century British Poetry,,1813/47,,2016-02-01,44731
,,,,,,"Sanker, Chelsea",http://hdl.handle.net/1813/43571,,,Patterns Of Misperception Of Arabic Guttural And Non-Guttural Consonants,,1813/47,,2016-02-01,44734
,,,,,,"Martins Tahim, Camila",http://hdl.handle.net/1813/43579,,,Yeast Assimilable Nitrogen Requirements Of Innoculated And Spontaneous Fermentations Of Riesling (V. Vinifera L.),,1813/47,,2016-02-01,44742
,,,,,,"Tong, Chaoxu",http://hdl.handle.net/1813/43582,,,Some Resource Allocation Problems,,1813/47,,2016-02-01,44745
,,,,,,"Smith, Erik",http://hdl.handle.net/1813/43596,,,"Patterns Of Dispersal Activity Of Onion Thrips, Thrips Tabaci Lindeman, In Onion Ecosystems",,1813/47,,2016-02-01,44759
,,,,,,"Blackburn, Erika",http://hdl.handle.net/1813/43600,,,The Impact Of Poverty On Infant Development: A Microanalytic Study Of The Mediating Role Of Parent-Child Interaction During Pretense,,1813/47,,2016-02-01,44763
,,,,,,"Brauer, Elizabeth",http://hdl.handle.net/1813/43601,,,Protein Kinase-Mediated Immunity In Arabidopsis And Nicotiana Benthamiana,,1813/47,,2016-02-01,44764
,,,,,,"Mueller, Eva-Maria",http://hdl.handle.net/1813/43602,,,Constraining Physics Beyond The Cosmological Standard Model,,1813/47,,2016-02-01,44765
,,,,,,"Yu, Eugenia",http://hdl.handle.net/1813/43603,,,"Unconquerable Monsters Of The Imperial Periphery: Early Dinosaur Fiction, 1864-1912",,1813/47,,2016-02-01,44766
,,,,,,"Wang, Endian",http://hdl.handle.net/1813/43608,,,Mechanical Properties Of Tetra-Polyethylene And Tetra-Polyethylene Oxide Diamond Networks Via Molecular Dynamics Simulations,,1813/47,,2016-02-01,44771
,,,,,,"Alsalman, Hussain",http://hdl.handle.net/1813/43617,,,Transferred Monolayer And Ab Stacked Bilayer (0001) Sic Epitaxial Graphene,,1813/47,,2016-02-01,44780
,,,,,,"Koppula, Hema",http://hdl.handle.net/1813/43620,,,Understanding People From Rgbd Data For Assistive Robots,,1813/47,,2016-02-01,44783
,,,,,,"Wayman, Joseph",http://hdl.handle.net/1813/43629,,,Metabolic Modeling And Analysis Of Microbial Glycosylation Platforms,,1813/47,,2016-02-01,44792
,,,,,,"Hopkins, Jesse",http://hdl.handle.net/1813/43631,,,"Development Of Low Temperature Biological Small Angle X-Ray Scattering, Cryosaxs, And Study Of Ice Formation In Aqueous Solutions",,1813/47,,2016-02-01,44794
,,,,,,"Choe, Justin",http://hdl.handle.net/1813/43637,,,Essays In Innovation And Technology Adoption,,1813/47,,2016-02-01,44800
,,,,,,"Moore, Joshua",http://hdl.handle.net/1813/43639,,,Embedding Methods For Generative Modeling And Visual Data Analysis,,1813/47,,2016-02-01,44802
,,,,,,"Pacelli, Joseph",http://hdl.handle.net/1813/43641,,,Corporate Culture In Financial Markets,,1813/47,,2016-02-01,44804
,,,,,,"Bentley, Jeremiah",http://hdl.handle.net/1813/43645,,,"Essays On Reporting Systems, Operational Distortion, And Belief Distortion",,1813/47,,2016-02-01,44808
,,,,,,"Burd, Kayla",http://hdl.handle.net/1813/43648,,,"Mitigating The Biasing Impact Of Emotions And Morality: Cognitive Training, Juror Emotionality, And Juror Decision-Making",,1813/47,,2016-02-01,44811
,,,,,,"Leung, Kai Wing Kelvin",http://hdl.handle.net/1813/43657,,,Atomistic Modeling Predictions Of Crack Tip Behavior In Silicon Carbide,,1813/47,,2016-02-01,44820
,,,,,,"Mathew, Kiran",http://hdl.handle.net/1813/43661,,,Development Of Multi-Scale Computational Tools For The Study Of Interfaces,,1813/47,,2016-02-01,44824
,,,,,,"Rogers, Katharine",http://hdl.handle.net/1813/43664,,,"Modeling, Analysis, And Network Identification Of Cancer Signal Transduction Networks",,1813/47,,2016-02-01,44827
,,,,,,"Deline, Mary",http://hdl.handle.net/1813/43674,,,Interpreting Resistance To Change: The Behaviors And Logics That Guide Resistance Interpretations In The Workplace,,1813/47,,2016-02-01,44837
,,,,,,"Mcglashan, Neil",http://hdl.handle.net/1813/43681,,,A Seismic Study Of The Andean And Taiwanese Lithosphere Using Depth-Phase Precursors And S-Wave Receiver Functions,,1813/47,,2016-02-01,44844
,,,,,,"Sahore, Ritu",http://hdl.handle.net/1813/43694,,,Design And Synthesis Of Porous Carbons For Lithium-Sulfur Batteries And Other Electrochemical Energy Storage Applications,,1813/47,,2016-02-01,44857
,,,,,,"Ye, Ru",http://hdl.handle.net/1813/43696,,,Higher-Order Evidence: Puzzles And Solutions,,1813/47,,2016-02-01,44859
,,,,,,"Chandrasekaran, Sri nivas",http://hdl.handle.net/1813/43699,,,Acoustic Radiation Force Optical Coherence Elastography : Localized Vs. Wide-Area Perturbation – A Comparison,,1813/47,,2016-02-01,44862
,,,,,,"Pinge, Shubham",http://hdl.handle.net/1813/43701,,,Mesoscale Modeling Of Directed Self Assemblies Of Block Copolymer Lithography,,1813/47,,2016-02-01,44864
,,,,,,"Mann, Sabine",http://hdl.handle.net/1813/43711,,,Transition Cow Metabolism In Relation To Plane Of Energy Prepartum,,1813/47,,2016-02-01,44874
,,,,,,"Mahajan, Sai Pooja",http://hdl.handle.net/1813/43712,,,Towards The Rational Design Of A Target-Specific Antibody,,1813/47,,2016-02-01,44875
,,,,,,"Wei, Shuya",http://hdl.handle.net/1813/43715,,,Metal-Sulfur Batteries Based On Solid-State Reaction,,1813/47,,2016-02-01,44878
,,,,,,"Shah, Shreyas",http://hdl.handle.net/1813/43716,,,Opto-Mechanical Interactions : From Sensing To Synchronization,,1813/47,,2016-02-01,44879
,,,,,,"Tran, Tien",http://hdl.handle.net/1813/43720,,,The Novel Gr29D09 Effector Family From Potato Cyst Nematode Globodera Rostochiensis Suppresses Plant Immunity To Promote Nematode Parasitism,,1813/47,,2016-02-01,44883
,,,,,,"Williams, Tiffany",http://hdl.handle.net/1813/43721,,,Freeze-Casting For Facile Synthesis Of Novel Porous Materials,,1813/47,,2016-02-01,44884
,,,,,,"Kapoor, Vinay",http://hdl.handle.net/1813/43723,,,The Functional Significance Of Microgeographic Dialects In A Hermit Hummingbird.,,1813/47,,2016-02-01,44886
,,,,,,"Vaidya, Vaibhavi",http://hdl.handle.net/1813/43724,,,Lcc Fiber Reinforced ‘Green’ Composites Derived From Raw Plantain Starch,,1813/47,,2016-02-01,44887
,,,,,,"Pennock, William",http://hdl.handle.net/1813/43727,,,Development Of The Turbulent Tube Flocculator,,1813/47,,2016-02-01,44890
,,,,,,"Zhang, Wenyu",http://hdl.handle.net/1813/43730,,,Study Of Atomic Layer Deposition: Thin Film Continuity And Techniques To Modulate Surface Reactivity,,1813/47,,2016-02-01,44893
,,,,,,"He, Xi",http://hdl.handle.net/1813/43731,,,Bilateral Interactions In Two-Sided Networks – A Perspective From Matching Theory,,1813/47,,2016-02-01,44894
,,,,,,"Levine, Corri",http://hdl.handle.net/1813/44273,,,The Effects Of Select Plant Extracts On Canine Neoplastic Cell Growth And Signaling,,1813/47,,2016-05-29,45449
,,,,,,"Guzman, Christian",http://hdl.handle.net/1813/44275,,,"Investigating Soil Erosion And Soil Conservation In Tropical (Sub) Humid Highlands: Findings From Debre Mawi, Ethiopia",,1813/47,,2016-05-29,45451
,,,,,,"Woster, Cassandra",http://hdl.handle.net/1813/44285,,,Beacons Of Civilization: Roadhouses Of The Richardson Highway,,1813/47,,2016-05-29,45461
,,,,,,"Glabau, Danya",http://hdl.handle.net/1813/44290,,,Morality In Action: Risking Death And Caring For Life In American Food Allergy Worlds,,1813/47,,2016-05-29,45466
,,,,,,"Bui, Duyen",http://hdl.handle.net/1813/44297,,,Investigating The Role Of A Genetic Incompatibility Involving Mismatch Repair Genes In Adaptive Evolution,,1813/47,,2016-05-29,45473
,,,,,,"Edmunds, Emme",http://hdl.handle.net/1813/44302,,,"Gender, Sexuality And The Paradoxes Of Taboo In Middle Class Delhi, India",,1813/47,,2016-05-29,45478
,,,,,,"Taylor Poppe, Emily",http://hdl.handle.net/1813/44306,,,Going It Alone: Legal Mobilization And Efficacy In The Foreclosure Crisis,,1813/47,,2016-05-29,45482
,,,,,,"Soper, Fiona",http://hdl.handle.net/1813/44308,,,"Effects Of Woody Legume (Prosopis Glandulosa) Encroachment On Nitrogen Fixation, Storage And Gas Loss In A Subtropical, Semi-Arid Savanna",,1813/47,,2016-05-29,45484
,,,,,,"Hohenstein, Jessica",http://hdl.handle.net/1813/44320,,,Development Of A Compact Optical Rapid Diagnostic Test Reader And A Point-Of-Care Fluorescence Lateral Flow Assay For Dengue Detection,,1813/47,,2016-05-29,45496
,,,,,,"Goodrich, Julia",http://hdl.handle.net/1813/44323,,,Investigating The Impact Of Host Genetic Variation On The Human Gut Microbiota Using Twin Pairs,,1813/47,,2016-05-29,45499
,,,,,,"Mohammed, Jaaved",http://hdl.handle.net/1813/44325,,,Evolution Of Micrornas In Drosophila,,1813/47,,2016-05-29,45501
,,,,,,"Guerreiro Lopes, Jose",http://hdl.handle.net/1813/44326,,,"""Essays On Fiscal Policy And The Narrative Approach""",,1813/47,,2016-05-29,45502
,,,,,,"Chiang, Karen",http://hdl.handle.net/1813/44332,,,Model-Based Estimation Applications For Gnss Remote Sensing,,1813/47,,2016-05-29,45508
,,,,,,"Chylek, Lily",http://hdl.handle.net/1813/44334,,,Understanding Ige Receptor Signaling Through Computational Modeling And Quantitative Experiments,,1813/47,,2016-05-29,45510
,,,,,,"Cooper, Lara",http://hdl.handle.net/1813/44336,,,Activation And Survival Of Ovarian Follicles In Vitro: The Effects Of Bone Morphogenetic Proteins (Bmps) And/Or Cryopreservation On Bovine And Feline Ovarian Tissue.,,1813/47,,2016-05-29,45512
,,,,,,"Akepiyapornchai, Manasicha",http://hdl.handle.net/1813/44340,,,Ved¿Ntadesika’S Interpretation Of R¿M¿Nuja’S Prapatti: A Study Based On The Nik¿Eparak¿¿,,1813/47,,2016-05-29,45516
,,,,,,"Houghton, Michael",http://hdl.handle.net/1813/44345,,,The Role Of Solvation And Aggregation On Lithium Enolates Derived From L-Pyroglutaminol Hemiaminals And Weinreb Amides And Their Mechanistic And Stereoinductive Influences On The Azaaldol Reaction.,,1813/47,,2016-05-29,45521
,,,,,,"Moschitto, Matthew",http://hdl.handle.net/1813/44346,,,Synthesis And Manipulation Of Carbasugars And Natural Product Scaffolds,,1813/47,,2016-05-29,45522
,,,,,,"Rogals, Monique",http://hdl.handle.net/1813/44347,,,Phosphorylation-Regulated Interaction Of Phospho-Ser/Thr-Pro Binding Motifs With Proteins Involved In Alzheimer'S Disease & Asthma,,1813/47,,2016-05-29,45523
