dc.title[en_US],dc.date.issued[en_US],dc.identifier.doi,dc.publisher[en_US],dc.identifier.uri[],dc.title[en],dc.contributor.author,dc.contributor.author[],dc.identifier.uri,dc.publisher,dc.date.issued,dc.title[],dc.contributor.author[en_US],collection,dc.publisher[en],dc.date.issued[],id
,,http://dx.doi.org/10.5072/FK2Z31TM45,,,,,"Chen, Po-Cheng",http://hdl.handle.net/1813/44361,,,"Micro-Fabricated Silicon Based Probes For Biomedical Applications: Reliable Neural Interface, Electro-Mechano Tissue Assay Surgical Tweezer, And Fluid Viscosity Sensing",,1813/47,,2016-05-29,45537
,,http://dx.doi.org/10.5072/FK2TB13T0V,,,,,"Lam, Quy-Steven",http://hdl.handle.net/1813/44366,,,A Learning Management System To Capture And Derive Student Concept Maps,,1813/47,,2016-05-29,45542
,,http://dx.doi.org/10.5072/FK2PK0D03Q,,,,,"Garg, Rohit",http://hdl.handle.net/1813/44369,,,Dynamical Diffraction As An Angular Slit Optical Element,,1813/47,,2016-05-29,45545
,,http://dx.doi.org/10.5072/FK2JS9P58X,,,,,"Gajare, Rashmi",http://hdl.handle.net/1813/44374,,,An Analysis Of Green Building Rating Systems In The Context Of Historic Preservation,,1813/47,,2016-05-29,45550
,,http://dx.doi.org/10.5072/FK2F18ZC4J,,,,,"Messick, Scott",http://hdl.handle.net/1813/44379,,,"Continuous Automata, Compactness, And Young Measures",,1813/47,,2016-05-29,45555
,,http://dx.doi.org/10.5072/FK29887K28,,,,,"Chamberlain, Samuel",http://hdl.handle.net/1813/44380,,,Methane Fluxes In Human-Dominated Ecosystems: From Pastures To Cities,,1813/47,,2016-05-29,45556
,,http://dx.doi.org/10.5072/FK25H7HR87,,,,,"Lee, Seoho",http://hdl.handle.net/1813/44383,,,Smartphone Enabled Biosensor Systems For Nutrition Diagnostics And Preventive Care At The Point-Of-Need,,1813/47,,2016-05-29,45559
,,http://dx.doi.org/10.5072/FK21V5HB81,,,,,"Che, Sara",http://hdl.handle.net/1813/44386,,,Interaction Of Tumor-Derived Tissue Factor With Endothelial Cells In The Context Of Cancer Metastasis,,1813/47,,2016-05-29,45562
,,http://dx.doi.org/10.5072/FK2X34SQ3J,,,,,"Srinivasan, Tara",http://hdl.handle.net/1813/44394,,,Notch Signaling: Mechanistic And Functional Studies In Intestinal Stem Cells And Colorectal Cancer Cells,,1813/47,,2016-05-29,45570
,,http://dx.doi.org/10.5072/FK2SB42W7W,,,,,"Thapar, Vikram",http://hdl.handle.net/1813/44397,,,Understanding The Kinetics And Thermodynamics Of Self Assembly Of Faceted Polyhedral Particles Using Computer Simulations,,1813/47,,2016-05-29,45573
,,http://dx.doi.org/10.5072/FK2NK3C33M,,,,,"Cheng, Wei",http://hdl.handle.net/1813/44398,,,Carbon Sequestration In Concrete,,1813/47,,2016-05-29,45574
,,http://dx.doi.org/10.5072/FK2HT2N90D,,,,,"Pan, Yuanyuan",http://hdl.handle.net/1813/44404,,,The Anti-Corruption Campaign And Catering Industry In China,,1813/47,,2016-05-29,45580
,,http://dx.doi.org/10.5072/FK2D21XG77,,,,,"Shi, Yongren",http://hdl.handle.net/1813/44405,,,Three Studies Of Network Dynamics,,1813/47,,2016-05-29,45581
,,http://dx.doi.org/10.5072/FK28916P4F,,http://hdl.handle.net/1813/44406,,,"Zhang, Yiyi",,,,γ-Aminobutyric Acid (Gaba) In Fresh-Cut Fruits And Vegetables,,1813/47,,2016-05-29,45582
,,http://dx.doi.org/10.5072/FK24M9682Z,,,,,"Citerone, Veronica",http://hdl.handle.net/1813/44408,,,Enhancing Gas Transfer At An Air-Water Interface Through Strengthened Secondary Flows Motivated By Algal Biofuel Production,,1813/47,,2016-05-29,45584
,,http://dx.doi.org/10.5072/FK20V8GF7D,,,,,"Otwell, Anne",http://hdl.handle.net/1813/44265,,,Insights Into Microbial Metal Reduction Through Implementation Of Proteomic-Based Techniques: A Focus On The Gram-Positive Bacterium Desulfotomaculum Reducens Mi-1,,1813/47,,2016-05-29,45441
,,http://dx.doi.org/10.5072/FK2W37RT1D,,,,,"Levine, Corri",http://hdl.handle.net/1813/44273,,,The Effects Of Select Plant Extracts On Canine Neoplastic Cell Growth And Signaling,,1813/47,,2016-05-29,45449
,,http://dx.doi.org/10.5072/FK2RB7206Q,,,,,"Guzman, Christian",http://hdl.handle.net/1813/44275,,,"Investigating Soil Erosion And Soil Conservation In Tropical (Sub) Humid Highlands: Findings From Debre Mawi, Ethiopia",,1813/47,,2016-05-29,45451
,,http://dx.doi.org/10.5072/FK2MK6B63H,,,,,"Woster, Cassandra",http://hdl.handle.net/1813/44285,,,Beacons Of Civilization: Roadhouses Of The Richardson Highway,,1813/47,,2016-05-29,45461
,,http://dx.doi.org/10.5072/FK2GT5MD09,,,,,"Glabau, Danya",http://hdl.handle.net/1813/44290,,,Morality In Action: Risking Death And Caring For Life In American Food Allergy Worlds,,1813/47,,2016-05-29,45466
,,http://dx.doi.org/10.5072/FK2C24WK6M,,,,,"Bui, Duyen",http://hdl.handle.net/1813/44297,,,Investigating The Role Of A Genetic Incompatibility Involving Mismatch Repair Genes In Adaptive Evolution,,1813/47,,2016-05-29,45473
,,http://dx.doi.org/10.5072/FK27D2W56D,,,,,"Edmunds, Emme",http://hdl.handle.net/1813/44302,,,"Gender, Sexuality And The Paradoxes Of Taboo In Middle Class Delhi, India",,1813/47,,2016-05-29,45478
,,http://dx.doi.org/10.5072/FK23N25C1K,,,,,"Taylor Poppe, Emily",http://hdl.handle.net/1813/44306,,,Going It Alone: Legal Mobilization And Efficacy In The Foreclosure Crisis,,1813/47,,2016-05-29,45482
,,http://dx.doi.org/10.5072/FK2ZW1FQ4D,,,,,"Soper, Fiona",http://hdl.handle.net/1813/44308,,,"Effects Of Woody Legume (Prosopis Glandulosa) Encroachment On Nitrogen Fixation, Storage And Gas Loss In A Subtropical, Semi-Arid Savanna",,1813/47,,2016-05-29,45484
,,http://dx.doi.org/10.5072/FK2V40QX01,,,,,"Hohenstein, Jessica",http://hdl.handle.net/1813/44320,,,Development Of A Compact Optical Rapid Diagnostic Test Reader And A Point-Of-Care Fluorescence Lateral Flow Assay For Dengue Detection,,1813/47,,2016-05-29,45496
,,http://dx.doi.org/10.5072/FK2QC0137C,,,,,"Goodrich, Julia",http://hdl.handle.net/1813/44323,,,Investigating The Impact Of Host Genetic Variation On The Human Gut Microbiota Using Twin Pairs,,1813/47,,2016-05-29,45499
,,http://dx.doi.org/10.5072/FK2KK9995F,,,,,"Mohammed, Jaaved",http://hdl.handle.net/1813/44325,,,Evolution Of Micrornas In Drosophila,,1813/47,,2016-05-29,45501
,,http://dx.doi.org/10.5072/FK2FT8KH06,,,,,"Guerreiro Lopes, Jose",http://hdl.handle.net/1813/44326,,,"""Essays On Fiscal Policy And The Narrative Approach""",,1813/47,,2016-05-29,45502
,,http://dx.doi.org/10.5072/FK2B56K30B,,,,,"Chiang, Karen",http://hdl.handle.net/1813/44332,,,Model-Based Estimation Applications For Gnss Remote Sensing,,1813/47,,2016-05-29,45508
,,http://dx.doi.org/10.5072/FK26D5V869,,,,,"Chylek, Lily",http://hdl.handle.net/1813/44334,,,Understanding Ige Receptor Signaling Through Computational Modeling And Quantitative Experiments,,1813/47,,2016-05-29,45510
,,http://dx.doi.org/10.5072/FK22N54G0Z,,,,,"Cooper, Lara",http://hdl.handle.net/1813/44336,,,Activation And Survival Of Ovarian Follicles In Vitro: The Effects Of Bone Morphogenetic Proteins (Bmps) And/Or Cryopreservation On Bovine And Feline Ovarian Tissue.,,1813/47,,2016-05-29,45512
,,http://dx.doi.org/10.5072/FK2XW4DT5T,,,,,"Akepiyapornchai, Manasicha",http://hdl.handle.net/1813/44340,,,Ved¿Ntadesika’S Interpretation Of R¿M¿Nuja’S Prapatti: A Study Based On The Nik¿Eparak¿¿,,1813/47,,2016-05-29,45516
,,http://dx.doi.org/10.5072/FK2T43Q12D,,,,,"Houghton, Michael",http://hdl.handle.net/1813/44345,,,The Role Of Solvation And Aggregation On Lithium Enolates Derived From L-Pyroglutaminol Hemiaminals And Weinreb Amides And Their Mechanistic And Stereoinductive Influences On The Azaaldol Reaction.,,1813/47,,2016-05-29,45521
,,http://dx.doi.org/10.5072/FK2PC30699,,,,,"Moschitto, Matthew",http://hdl.handle.net/1813/44346,,,Synthesis And Manipulation Of Carbasugars And Natural Product Scaffolds,,1813/47,,2016-05-29,45522
,,http://dx.doi.org/10.5072/FK2JM28D63,,,,,"Rogals, Monique",http://hdl.handle.net/1813/44347,,,Phosphorylation-Regulated Interaction Of Phospho-Ser/Thr-Pro Binding Motifs With Proteins Involved In Alzheimer'S Disease & Asthma,,1813/47,,2016-05-29,45523
,,http://dx.doi.org/10.5072/FK2DZ0804V,,,,,"Ingalls, Micah",http://hdl.handle.net/1813/44349,,,The Power Problematic In Social-Ecological Systems,,1813/47,,2016-05-29,45525
,,http://dx.doi.org/10.5072/FK2959J58W,,,,,"Kelly, Matthew",http://hdl.handle.net/1813/44350,,,Designing Reliable Controllers For Bipedal Robots,,1813/47,,2016-05-29,45526
,,http://dx.doi.org/10.5072/FK25D8TC3N,,,,,"Sarrias Jeraldo, Mauricio Alejandro",http://hdl.handle.net/1813/44352,,,Three Essays On Continuous And Discrete Spatial Heterogeneity,,1813/47,,2016-05-29,45528
,,http://dx.doi.org/10.5072/FK21N83J91,,,,,"Athens, Niccolo",http://hdl.handle.net/1813/44355,,,The Music Of Alan Hovhaness,,1813/47,,2016-05-29,45531
,,http://dx.doi.org/10.5072/FK2WW7CX67,,,,,"Chen, Pei Jean",http://hdl.handle.net/1813/44360,,,The Transnational-Translational Modernity: Language And Sexuality In Colonial Taiwan And Korea,,1813/47,,2016-05-29,45536
,,http://dx.doi.org/10.5072/FK2S46P44B,,,,,"Park, Patrick",http://hdl.handle.net/1813/44363,,,Three Essays On The Strength Of Long-Range Communication Ties,,1813/47,,2016-05-29,45539
,,http://dx.doi.org/10.5072/FK2NC5Z99S,,,,,"Radecki, Peter",http://hdl.handle.net/1813/44364,,,Applied Probabilistic Inference: Model Estimation For Hvac Predictive Controls And All-Weather Perception For Autonomous Vehicles,,1813/47,,2016-05-29,45540
,,http://dx.doi.org/10.5072/FK2HQ3XW8M,,,,,"Mertz, Rachel",http://hdl.handle.net/1813/44368,,,"Molecular Genetic Dissection Of Bundle Sheath Suberization In Zea Mays And Setaria Viridis, Two Model Nadp-Me C4 Grasses",,1813/47,,2016-05-29,45544
,,http://dx.doi.org/10.5072/FK2CZ37337,,,,,"Claflin, Susan",http://hdl.handle.net/1813/44378,,,Environmental And Ecological Factors Influencing Insect-Borne Virus Epidemiology,,1813/47,,2016-05-29,45554
,,http://dx.doi.org/10.5072/FK2862H87H,,,,,"Deri, Sebastian",http://hdl.handle.net/1813/44385,,,"Rejected, But For Whom?: Why It Feels Worse To Be Rejected For Someone Rather Than No One",,1813/47,,2016-05-29,45561
,,http://dx.doi.org/10.5072/FK24F1SG3S,,,,,"Xu, Shaomao",http://hdl.handle.net/1813/44389,,,The Sodium-O2/Co2 Electrochemical Cell,,1813/47,,2016-05-29,45565
,,http://dx.doi.org/10.5072/FK20P12P00,,,,,"Aurand, Thomas",http://hdl.handle.net/1813/44390,,,Development Of Novel Genetic Circuits For The Detection Of Disease Biomarkers,,1813/47,,2016-05-29,45566
,,http://dx.doi.org/10.5072/FK2VX0C17B,,,,,"Goel, Tirupam",http://hdl.handle.net/1813/44391,,,Essays In Banking And Regulation,,1813/47,,2016-05-29,45567
,,http://dx.doi.org/10.5072/FK2R49N726,,,,,"Xu, Xuejuan",http://hdl.handle.net/1813/44399,,,Effect Of Surface Tension On Deformation Of Soft Solids,,1813/47,,2016-05-29,45575
,,http://dx.doi.org/10.5072/FK2MG7MT2J,,,,,"Gao, Yue",http://hdl.handle.net/1813/44401,,,The Pursuit Of Happiness: Hedonic And Eudaimonic Well-Being For Intrinsically Motivated Agents,,1813/47,,2016-05-29,45577
,,http://dx.doi.org/10.5072/FK2GQ6X08Z,,,,,"Hansen, Zachariah",http://hdl.handle.net/1813/44407,,,"Improved Late Blight Management Through Resistance In Tomato, Pathogen Diagnostics, And Understanding Phytophthora Infestans Diversity",,1813/47,,2016-05-29,45583
,,http://dx.doi.org/10.5072/FK2BZ66634,,,,,"Md Sikin, Adi",http://hdl.handle.net/1813/44267,,,Inactivation Of Microorganisms In Skim Milk And Shredded Mozzarella Cheese Using High Pressure Carbon Dioxide And Nitrous Oxide,,1813/47,,2016-05-29,45443
,,http://dx.doi.org/10.5072/FK2765GC9F,,,,,"Stingel, Ashley",http://hdl.handle.net/1813/44268,,,Ultrafast Continuum Mid-Infrared Spectroscopy Of Hydrogen-Bonded Dimers,,1813/47,,2016-05-29,45444
,,http://dx.doi.org/10.5072/FK23F4RK7R,,,,,"Webb-Binder, Bernida",http://hdl.handle.net/1813/44269,,,"Affinities And Affiliations: Black Pacific Art In Aotearoa/New Zealand, 1948-2008",,1813/47,,2016-05-29,45445
,,http://dx.doi.org/10.5072/FK2ZP41Z2B,,,,,"Treml, Benjamin",http://hdl.handle.net/1813/44270,,,Physical And Chemical Processing Methods For Producing Nanocrystal Films With Properties By Design,,1813/47,,2016-05-29,45446
,,http://dx.doi.org/10.5072/FK2V121H9M,,,,,"Kraft, Brandon",http://hdl.handle.net/1813/44271,,,"Disclosure In Pursuit Of Accountability: Studies On The Advent, Materiality, And Repercussions Of Utilities’ Environmental Disclosures",,1813/47,,2016-05-29,45447
,,http://dx.doi.org/10.5072/FK2Q819Q7X,,,,,"Burtch, Claire",http://hdl.handle.net/1813/44276,,,The Contribution Of Mono- And Diglucosidic Anthocyanins To Red Wine Color,,1813/47,,2016-05-29,45452
,,http://dx.doi.org/10.5072/FK2KH0KX15,,,,,"Higgins, Carter",http://hdl.handle.net/1813/44279,,,Saintly Investments: Pilgrimage Development And Contemporary Hinduism In India,,1813/47,,2016-05-29,45455
,,http://dx.doi.org/10.5072/FK2FQ9W36T,,,,,"Ouellette, Charles",http://hdl.handle.net/1813/44282,,,"Long-Term Nitrogen And Phosphorus Trends In The Groundwaters Of The Cornell University Ruminant Center In Harford, Ny: 1974-2016",,1813/47,,2016-05-29,45458
,,http://dx.doi.org/10.5072/FK29Z9592H,,,,,"DeBlase, Catherine",http://hdl.handle.net/1813/44284,,,Redox-Active Covalent Organic Frameworks And Porous Polymers For Electrochemical Energy Storage,,1813/47,,2016-05-29,45460
,,http://dx.doi.org/10.5072/FK2668FH05,,,,,"Sevillano Rios, Cristian",http://hdl.handle.net/1813/44286,,,"Diversity, Ecology, And Conservation Of Bird Communities Of Polylepis Woodlands In The Northern Andes Of Peru",,1813/47,,2016-05-29,45462
,,http://dx.doi.org/10.5072/FK22F7QP7N,,,,,"Schmitt, Diane",http://hdl.handle.net/1813/44295,,,Effect Of Pre-Fermentation Cold Soak On The Chemical And Sensory Qualities Of Aromatic White Wines,,1813/47,,2016-05-29,45471
,,http://dx.doi.org/10.5072/FK2XS5QF3S,,,,,"Toupo, Danielle Flora",http://hdl.handle.net/1813/44296,,,Nonlinear Dynamics Of Cycles In Evolutionary Games,,1813/47,,2016-05-29,45472
,,http://dx.doi.org/10.5072/FK2T150N0B,,,,,"Lee, Donald",http://hdl.handle.net/1813/44298,,,Single-Particle Tracking Assays And Computational Tools For Studying Virus-Membrane Interactions,,1813/47,,2016-05-29,45474
,,http://dx.doi.org/10.5072/FK2P848T5S,,,,,"Bai, Gongshi",http://hdl.handle.net/1813/44309,,,Tumor Suppression By Regulation Of Mini-Chromosome Maintenance Expression In Response To Dna Replication Stress,,1813/47,,2016-05-29,45485
,,http://dx.doi.org/10.5072/FK2JH3K095,,,,,"Kantor, Hayden",http://hdl.handle.net/1813/44312,,,"“‘We Earn Less Than We Eat:’ Food, Farming, And The Caring Family In Bihar, India”",,1813/47,,2016-05-29,45488
,,http://dx.doi.org/10.5072/FK2DR2V66Z,,,,,"Kloumann, Isabel",http://hdl.handle.net/1813/44315,,,"Behaviors, Interactions, And Communities In Networks",,1813/47,,2016-05-29,45491
,,http://dx.doi.org/10.5072/FK29024D3H,,,,,"Price, Ian",http://hdl.handle.net/1813/44318,,,How To Turn On A Riboswitch: Structural And Mechanistic Lessons Learned From S-Adenosyl-L-Methionine- And Manganese-Sensing Rnas,,1813/47,,2016-05-29,45494
,,http://dx.doi.org/10.5072/FK2571DM09,,,,,"Hoople, Jason",http://hdl.handle.net/1813/44327,,,Integrated Piezoelectric Transducer Arrays For On Chip Communication And Sensing,,1813/47,,2016-05-29,45503
,,http://dx.doi.org/10.5072/FK21J9D61C,,,,,"Wilson, Kyle",http://hdl.handle.net/1813/44330,,,Robustly Modeling The World From Photos,,1813/47,,2016-05-29,45506
,,http://dx.doi.org/10.5072/FK2WS8PJ5Q,,,,,"Shi, Kaihang",http://hdl.handle.net/1813/44333,,,"Demand Estimation Of Automobile Market In Shanghai, China",,1813/47,,2016-05-29,45509
,,http://dx.doi.org/10.5072/FK2S17ZQ90,,,,,"Desrochers, Laura",http://hdl.handle.net/1813/44337,,,Microvesicles And Their Roles In Early Development,,1813/47,,2016-05-29,45513
,,http://dx.doi.org/10.5072/FK2N877X45,,,,,"Nikandish, Naser",http://hdl.handle.net/1813/44357,,,Three Essays In Operations Management,,1813/47,,2016-05-29,45533
,,http://dx.doi.org/10.5072/FK2HH6J40W,,,,,"Rong, Nan",http://hdl.handle.net/1813/44358,,,Learning In The Presence Of Unawareness,,1813/47,,2016-05-29,45534
,,http://dx.doi.org/10.5072/FK2CR5T98W,,,,,"Ferreira de Souza Marzionna, Paulo",http://hdl.handle.net/1813/44362,,,Complaining To The Ombudsman – Alternative Dispute Resolution In The Brazilian Workplace,,1813/47,,2016-05-29,45538
,,http://dx.doi.org/10.5072/FK28053H5F,,,,,"Kreis, Rachel",http://hdl.handle.net/1813/44367,,,Genetic Diversity Of Alternaria Brassicicola In New York State And Cauliflower Susceptibility To Alternaria Leaf Spot,,1813/47,,2016-05-29,45543
,,http://dx.doi.org/10.5072/FK24B33336,,,,,"Nehring, Ryan",http://hdl.handle.net/1813/44370,,,Yield Of Dreams: Marching West And The Politics Of Scientific Knowledge In The Brazilian Agricultural Research Corporation (Embrapa),,1813/47,,2016-05-29,45546
,,http://dx.doi.org/10.5072/FK20K2C900,,,,,"Kesler, Robert",http://hdl.handle.net/1813/44371,,,Unbounded Multilinear Multipliers Adapted To Large Subspaces And Estimates For Degenerate Simplex Operators,,1813/47,,2016-05-29,45547
,,http://dx.doi.org/10.5072/FK2VT1NN3T,,,,,"Low, Stephen",http://hdl.handle.net/1813/44376,,,Toward An Aesthetic Of Gay Culture,,1813/47,,2016-05-29,45552
,,http://dx.doi.org/10.5072/FK2R20XT8M,,,,,"Smith, Soshana",http://hdl.handle.net/1813/44377,,,"Effect Of Various Ceramic Precursors On The Mechanical, Thermal, And Electrochemical Properties Of Polymer/Ceramic Nanofiber Separators For Lithium Ion Batteries",,1813/47,,2016-05-29,45553
,,http://dx.doi.org/10.5072/FK2M90714R,,,,,"Horibata, Sachi",http://hdl.handle.net/1813/44381,,,Elucidating The Role Of Peptidylarginine Deiminase 2(Padi2) In Mammary Tumor Progression,,1813/47,,2016-05-29,45557
,,http://dx.doi.org/10.5072/FK2GH9H72T,,,,,"Kumar, Sneha",http://hdl.handle.net/1813/44382,,,The Causes Of Indonesia'S Late Fertility Transition Stall,,1813/47,,2016-05-29,45558
,,http://dx.doi.org/10.5072/FK2BR8SD78,,,,,"Lau, Sampson",http://hdl.handle.net/1813/44384,,,Influence Of Discharge Product Formation On Lithium-Oxygen Battery Performance,,1813/47,,2016-05-29,45560
,,http://dx.doi.org/10.5072/FK2736S07D,,,,,"Suh, Sung Won",http://hdl.handle.net/1813/44388,,,The Influence Of Capital Flows On Private And Public Equity Real Estate Funds,,1813/47,,2016-05-29,45564
,,http://dx.doi.org/10.5072/FK23B6262K,,,,,"Knight, Teresa",http://hdl.handle.net/1813/44392,,,Home Girls And Understudies: Shy Women In Cold War Theatre And Film,,1813/47,,2016-05-29,45568
,,http://dx.doi.org/10.5072/FK2ZK5BJ6X,,,,,"Kern, Thomas",http://hdl.handle.net/1813/44393,,,Nonstandard Models Of The Weak Second Order Theory Of One Successor,,1813/47,,2016-05-29,45569
,,http://dx.doi.org/10.5072/FK2TT4MR1P,,,,,"Vo, Tommy",http://hdl.handle.net/1813/44396,,,Exploring Functional Landscapes Of The Cell Through The Lens Of Protein Interactome Networks,,1813/47,,2016-05-29,45572
,,http://dx.doi.org/10.5072/FK2Q23WX8H,,,,,"Cahill, Adam",http://hdl.handle.net/1813/44264,,,An Investigation Of The Aluminum K-Edge By Spatially Resolved X-Ray Absorption Spectroscopy,,1813/47,,2016-05-29,45440
,,http://dx.doi.org/10.5072/FK2K936455,,,,,"Wenning, Brandon",http://hdl.handle.net/1813/44272,,,Synthesis And Study Of Functionalized Polydimethylsiloxane Block Copolymers: Control Of Surface Properties And Use In Antibiofouling Coatings,,1813/47,,2016-05-29,45448
,,http://dx.doi.org/10.5072/FK2FJ2GB2Z,,,,,"Chung, Chen-Yang",http://hdl.handle.net/1813/44274,,,High Mobility Of Sputtered In2Ga2Zno7 (Igzo) Thin Film Transistors (Tfts),,1813/47,,2016-05-29,45450
,,http://dx.doi.org/10.5072/FK29W0FX29,,,,,"Croteau, Chantal",http://hdl.handle.net/1813/44277,,,"Competing Modes Of Remembrance: Tsunami Commemoration In Takuapa, Thailand",,1813/47,,2016-05-29,45453
,,http://dx.doi.org/10.5072/FK2639R379,,,,,"Chick, Christina",http://hdl.handle.net/1813/44278,,,Emotion Regulation And Cognitive Representation Modulate Neural Activation To Risky Gains And Losses,,1813/47,,2016-05-29,45454
,,http://dx.doi.org/10.5072/FK22B9192G,,,,,"Lee, Che Yu",http://hdl.handle.net/1813/44281,,,Effect Of Host Immunity And Co-Infection On Larval Toxocariasis,,1813/47,,2016-05-29,45457
,,http://dx.doi.org/10.5072/FK2XK89N6T,,,,,"Roberts, Clifford",http://hdl.handle.net/1813/44283,,,In Observance Of The Everyday: The Concept Of Assent In Pyrrhonian Skepticism,,1813/47,,2016-05-29,45459
,,http://dx.doi.org/10.5072/FK2ST7KV23,,,,,"Ponce, Colin",http://hdl.handle.net/1813/44287,,,Network-Structured Error Flattening For Power Grids And Other Real-World Networks,,1813/47,,2016-05-29,45463
